subscribed,title,subject,era_subjects,cpu,cpu_rank,usage,instant_usage_percent,free_instant_usage_percent,subscription_cost,ill_cost,subscription_minus_ill_cost,use_oa_percent,use_backfile_percent,use_subscription_percent,use_ill_percent,use_other_delayed_percent,perpetual_access_years,baseline_access,bronze_oa_embargo_months,use_green_percent,use_hybrid_percent,use_bronze_percent,use_asns_percent,use_peer_reviewed_percent,downloads,citations,authorships,current_yr_usage,IF%,cost_per_IF%
FALSE,Achieve Academic,Neuroscience,"[['1109', 'Neurosciences'], ['17', 'Psychology and Cognitive Sciences'], ['1701', 'Psychology'], ['1702', 'Cognitive Science'], ['11', 'Medical and Health Sciences']]",38.621808,412,282,50,50,5475,73,5402,50,0,0,2,47,0,0,0,22,8,2,11,28,172,9,0.2,138.18,0.0346539,157990.876
FALSE,Recoil Trends,Physics and Astronomy,"[['10', 'Technology'], ['0906', 'Electrical and Electronic Engineering'], ['1005', 'Communications Technologies'], ['02', 'Physical Sciences'], ['09', 'Engineering'], ['0205', 'Optical Physics']]",38.392816,411,255,12,12,8723,123,8600,12,0,0,4,84,0,0,0,5,1,2,3,1,165,7,0.2,224.4,0.05627685,155001.5681
FALSE,Flamefluent,"Engineering, Energy and Technology","[['MD', 'Multidisciplinary']]",38.336784,410,354,37,37,8718,145,8573,37,0,0,3,60,0,0,0,5,1,9,11,11,270,8.4,0,223.02,0.055930762,155871.2884
FALSE,Excel Finance,Earth and Planetary Sciences,"[['06', 'Biological Sciences'], ['0602', 'Ecology'], ['04', 'Earth Sciences'], ['0603', 'Evolutionary Biology'], ['0403', 'Geology']]",37.161041,409,350,38,38,8136,50,8086,38,0,0,3,59,0,0,0,3,1,5,21,11,95,19.6,0.6,217,0.054421018,149501.0621
FALSE,Learn Statistics,Chemistry and Chemical Engineering,"[['0301', 'Analytical Chemistry'], ['0303', 'Macromolecular and Materials Chemistry'], ['0306', 'Physical Chemistry (incl. Structural)'], ['03', 'Chemical Sciences']]",36.878477,408,274,20,20,8233,130,8103,20,0,0,4,76,0,0,0,0,0,3,15,2,190,8.4,0,219.2,0.054972752,149765.1058
FALSE,Pioneer Quantitative,Neuroscience,"[['1115', 'Pharmacology and Pharmaceutical Sciences'], ['11', 'Medical and Health Sciences']]",36.668558,407,475,36,36,11370,166,11204,36,0,0,3,61,0,0,0,20,5,3,9,25,303,9.2,0.8,304,0.076239583,149135.1286
FALSE,Fuelhut,"Economics, Business and Management","[['17', 'Psychology and Cognitive Sciences'], ['11', 'Medical and Health Sciences']]",35.79685,406,188,49,49,3439,41,3398,49,0,0,3,48,0,0,0,34,1,4,6,22,94,7.4,0.2,95.88,0.024045563,143020.1478
FALSE,Science Advance,Life Sciences,"[['15', 'Commerce, Management, Tourism and Services'], ['14', 'Economics'], ['1402', 'Applied Economics'], ['1502', 'Banking, Finance and Investment'], ['1401', 'Economic Theory']]",35.072121,405,1859,88,88,8161,61,8100,88,0,0,1,12,0,0,12,1,8,79,0,84,581,100.2,2.8,241.67,0.060607961,134652.2789
FALSE,Programmingfluent,Chemistry and Chemical Engineering,"[['06', 'Biological Sciences'], ['11', 'Medical and Health Sciences'], ['07', 'Agricultural and Veterinary Sciences']]",34.970511,404,402,25,25,10694,209,10485,25,0,0,4,71,0,0,0,8,2,5,13,6,330,7.2,0,301.5,0.075612613,141431.4309
FALSE,Nurture Opinion,"Engineering, Energy and Technology","[['03', 'Chemical Sciences'], ['09', 'Engineering']]",34.739889,403,238,32,32,5693,112,5581,32,0,0,3,64,0,0,0,5,2,5,12,6,196,4.2,0,159.46,0.039990671,142358.2026
FALSE,Belief Statistics,Life Sciences,"[['04', 'Earth Sciences'], ['09', 'Engineering'], ['0905', 'Civil Engineering'], ['0405', 'Oceanography'], ['0911', 'Maritime Engineering']]",34.579897,402,222,27,27,5654,83,5571,27,0,0,4,69,0,0,0,7,7,2,5,15,134,8.8,0,162.06,0.04064272,139114.7058
FALSE,Flourish Trends,Earth and Planetary Sciences,"[['11', 'Medical and Health Sciences'], ['1113', 'Ophthalmology and Optometry'], ['1108', 'Medical Microbiology'], ['1107', 'Immunology']]",34.012358,401,428,42,42,8591,91,8500,42,0,0,3,55,0,0,0,10,14,3,11,24,183,20.6,0.4,248.24,0.062255638,137995.5331
FALSE,Scienceara,"Engineering, Energy and Technology","[['02', 'Physical Sciences'], ['04', 'Earth Sciences']]",33.801582,400,207,23,23,5525,102,5423,23,0,0,4,74,0,0,0,11,5,6,9,12,155,5.2,0,161.46,0.040492247,136445.8736
FALSE,Academic Clinic,Mathematics,"[['09', 'Engineering'], ['0204', 'Condensed Matter Physics'], ['0906', 'Electrical and Electronic Engineering'], ['02', 'Physical Sciences'], ['0299', 'Other Physical Sciences']]",33.797549,399,769,87,87,3510,21,3489,87,0,0,1,13,0,0,48,20,1,52,6,62,187,26.4,3.2,107.66,0.026999847,130000.7366
FALSE,Push Cell,Agricultural and Biological Sciences,"[['0802', 'Computation Theory and Mathematics'], ['08', 'Information and Computing Sciences'], ['0101', 'Pure Mathematics'], ['01', 'Mathematical Sciences'], ['0102', 'Applied Mathematics']]",32.942267,398,209,35,35,4536,81,4455,35,0,0,3,61,0,0,0,7,7,7,15,10,147,4.2,0.2,133.76,0.033545416,135219.6657
FALSE,Dairycog,"Economics, Business and Management","[['06', 'Biological Sciences'], ['0704', 'Fisheries Sciences'], ['0602', 'Ecology'], ['0502', 'Environmental Science and Management'], ['07', 'Agricultural and Veterinary Sciences'], ['05', 'Environmental Sciences']]",32.392604,397,263,26,26,6431,104,6327,26,0,0,4,71,0,0,0,11,1,3,7,8,165,9.8,0,197.25,0.049467953,130003.3578
FALSE,Express Journal,Computer Science,"[['0102', 'Applied Mathematics'], ['0103', 'Numerical and Computational Mathematics'], ['01', 'Mathematical Sciences']]",31.826013,396,415,75,75,3357,58,3299,75,0,0,1,24,0,0,0,4,0,52,15,52,272,8.4,0.6,103.75,0.026019266,129019.7832
FALSE,Pursue Journal,Chemistry and Chemical Engineering,"[['08', 'Information and Computing Sciences'], ['0102', 'Applied Mathematics'], ['0801', 'Artificial Intelligence and Image Processing'], ['0103', 'Numerical and Computational Mathematics'], ['01', 'Mathematical Sciences']]",31.322796,395,440,24,24,10678,188,10490,24,0,0,4,72,0,0,0,8,1,8,6,10,291,15,0,334.4,0.083863541,127325.8898
FALSE,School Journal,Life Sciences,"[['0302', 'Inorganic Chemistry'], ['0399', 'Other Chemical Sciences'], ['0306', 'Physical Chemistry (incl. Structural)'], ['03', 'Chemical Sciences']]",31.180727,394,359,52,52,5426,96,5330,52,0,0,2,45,0,0,18,0,5,43,2,45,238,12.2,0,168.73,0.042315476,128227.3169
FALSE,Morph Clinic,Neuroscience,"[['06', 'Biological Sciences'], ['11', 'Medical and Health Sciences'], ['0601', 'Biochemistry and Cell Biology'], ['1108', 'Medical Microbiology']]",30.973995,393,541,28,28,12178,167,12011,28,0,0,4,68,0,0,0,10,4,4,9,14,274,24.8,0.2,389.52,0.097686981,124663.4898
FALSE,Matter Organizational,"Pharmacology, Pharmaceutical Science and Toxicology","[['1701', 'Psychology'], ['1109', 'Neurosciences'], ['1702', 'Cognitive Science'], ['17', 'Psychology and Cognitive Sciences'], ['11', 'Medical and Health Sciences']]",30.276334,392,673,39,39,12696,160,12536,25,14,0,3,58,2017-2019,0,0,10,2,2,9,9,374,26,0.4,410.53,0.102956039,123314.767
FALSE,Quake Science,Life Sciences,"[['0601', 'Biochemistry and Cell Biology'], ['06', 'Biological Sciences']]",29.143573,391,329,62,62,3683,55,3628,62,0,0,2,36,0,0,0,20,10,22,6,30,173,15.8,0,125.02,0.031353528,117466.8428
MAYBE,Energize Greening,"Engineering, Energy and Technology","[['02', 'Physical Sciences'], ['09', 'Engineering']]",29.097508,390,626,25,25,13805,220,13585,25,0,0,4,71,0,0,0,6,2,3,9,5,347,26,0.2,469.5,0.117745014,117244.88
FALSE,Scholar Science,"Pharmacology, Pharmaceutical Science and Toxicology","[['1114', 'Paediatrics and Reproductive Medicine'], ['1115', 'Pharmacology and Pharmaceutical Sciences'], ['11', 'Medical and Health Sciences'], ['1117', 'Public Health and Health Services']]",28.797174,389,147,29,29,3044,29,3015,29,0,0,4,67,0,0,0,6,0,2,6,8,48,6,0.4,104.37,0.026174754,116295.2661
FALSE,Consumer Clinic,"Economics, Business and Management","[['11', 'Medical and Health Sciences'], ['1402', 'Applied Economics'], ['1117', 'Public Health and Health Services'], ['1403', 'Econometrics'], ['14', 'Economics']]",28.459117,388,254,63,63,2771,58,2713,63,0,0,2,36,0,0,0,39,8,6,4,38,181,7.4,0,96.52,0.024206068,114475.4303
FALSE,Financelux,"Engineering, Energy and Technology","[['01', 'Mathematical Sciences'], ['09', 'Engineering'], ['15', 'Commerce, Management, Tourism and Services']]",28.181745,387,474,43,43,7731,149,7582,43,0,0,3,54,0,0,0,9,4,7,14,10,308,12.6,0.4,270.18,0.067757929,114097.3474
FALSE,Tutor Journal,"Engineering, Energy and Technology","[['09', 'Engineering'], ['0906', 'Electrical and Electronic Engineering']]",27.874221,386,306,32,32,5881,118,5763,32,0,0,3,64,0,0,0,7,2,5,16,8,206,8,0.2,205.02,0.051416577,114379.4548
FALSE,Veterinarynest,Medicine,"[['17', 'Psychology and Cognitive Sciences'], ['11', 'Medical and Health Sciences']]",27.757761,385,356,35,35,6562,132,6430,35,0,0,3,62,0,0,0,8,1,3,13,10,238,9.8,0.2,231.4,0.058032367,113074.83
FALSE,Opinverse,Materials Science,"[['0204', 'Condensed Matter Physics'], ['0912', 'Materials Engineering'], ['02', 'Physical Sciences'], ['09', 'Engineering']]",27.352998,384,215,54,54,2767,48,2719,54,0,0,2,44,0,0,0,13,15,18,8,33,123,7.6,0.2,98.9,0.024802943,111559.3408
MAYBE,Propel Current,Physics and Astronomy,"[['0912', 'Materials Engineering'], ['02', 'Physical Sciences'], ['0204', 'Condensed Matter Physics'], ['0306', 'Physical Chemistry (incl. Structural)'], ['03', 'Chemical Sciences'], ['09', 'Engineering']]",27.050787,383,628,22,22,13577,290,13287,22,0,0,4,74,0,0,0,3,2,2,12,4,437,13.2,0.6,489.84,0.122846044,110520.4498
FALSE,Swift Sensing,Environmental Sciences,"[['03', 'Chemical Sciences'], ['05', 'Environmental Sciences'], ['06', 'Biological Sciences']]",26.359422,382,284,40,40,4560,97,4463,40,0,0,3,57,0,0,0,9,7,5,9,15,192,9.2,0,170.4,0.042734293,106705.8732
MAYBE,Flagship Crop,Neuroscience,"[['17', 'Psychology and Cognitive Sciences'], ['1702', 'Cognitive Science'], ['1109', 'Neurosciences'], ['11', 'Medical and Health Sciences'], ['1701', 'Psychology']]",26.326749,381,646,40,40,10344,167,10177,40,0,0,3,57,0,0,0,23,7,4,10,28,328,31.8,0,387.6,0.097205468,106413.7666
FALSE,Loop Flame,Chemistry and Chemical Engineering,"[['03', 'Chemical Sciences'], ['0904', 'Chemical Engineering'], ['09', 'Engineering'], ['0306', 'Physical Chemistry (incl. Structural)']]",26.193666,380,254,19,19,5580,165,5415,19,0,0,4,77,0,0,0,1,0,4,8,1,238,1.6,0,205.74,0.051597144,108145.5206
FALSE,Quiz Current,Agricultural and Biological Sciences,"[['07', 'Agricultural and Veterinary Sciences'], ['0704', 'Fisheries Sciences'], ['06', 'Biological Sciences'], ['0608', 'Zoology']]",25.910855,379,460,25,25,9073,140,8933,25,0,0,4,71,0,0,0,4,1,2,12,5,221,22,0.2,345,0.086521895,104863.6301
FALSE,Field Journal,Materials Science,"[['0904', 'Chemical Engineering'], ['0303', 'Macromolecular and Materials Chemistry'], ['0912', 'Materials Engineering'], ['03', 'Chemical Sciences'], ['09', 'Engineering']]",25.624378,378,430,29,29,8018,179,7839,29,0,0,4,68,0,0,0,7,3,6,8,8,297,11.4,0.2,309.6,0.077643996,103266.1943
FALSE,Boffin Academic,Earth and Planetary Sciences,"[['04', 'Earth Sciences'], ['03', 'Chemical Sciences'], ['0399', 'Other Chemical Sciences'], ['0405', 'Oceanography'], ['0402', 'Geochemistry']]",25.556349,377,320,52,52,4052,112,3940,52,0,0,2,46,0,0,0,11,19,8,10,29,273,4.8,0,153.6,0.038521052,105189.2341
FALSE,Community Clinic,Earth and Planetary Sciences,"[['04', 'Earth Sciences'], ['0403', 'Geology'], ['0904', 'Chemical Engineering'], ['0914', 'Resources Engineering and Extractive Metallurgy'], ['09', 'Engineering']]",25.555157,376,209,26,26,4096,126,3970,26,0,0,4,71,0,0,0,2,1,7,9,2,199,1,0,156.75,0.039311035,104194.6621
MAYBE,Develop Veterinary,"Engineering, Energy and Technology","[['0912', 'Materials Engineering'], ['0910', 'Manufacturing Engineering'], ['0913', 'Mechanical Engineering'], ['09', 'Engineering']]",25.43958,375,694,31,31,12381,199,12182,31,0,0,3,66,0,0,0,10,5,4,10,13,339,21.6,1.4,478.86,0.12009239,103095.6247
FALSE,Shine Dairy,Physics and Astronomy,"[['09', 'Engineering'], ['02', 'Physical Sciences'], ['10', 'Technology']]",25.323819,374,591,15,15,12950,266,12684,15,0,0,4,80,0,0,0,5,5,4,5,9,370,20.2,0.2,496.44,0.124501245,104015.024
FALSE,Fortune Biological,"Economics, Business and Management","[['14', 'Economics'], ['1402', 'Applied Economics'], ['1403', 'Econometrics'], ['1401', 'Economic Theory']]",24.56125,373,447,58,58,4702,109,4593,58,0,0,2,40,0,0,0,32,6,4,5,24,305,12.2,0.2,187.74,0.047082958,99866.28241
FALSE,Outlook Cement,Chemistry and Chemical Engineering,"[['09', 'Engineering'], ['0912', 'Materials Engineering'], ['0913', 'Mechanical Engineering']]",24.281131,372,228,20,20,4541,109,4432,20,0,0,4,76,0,0,0,1,1,7,7,6,161,6.8,0,182.4,0.04574375,99270.39271
FALSE,Propel Computer,Agricultural and Biological Sciences,"[['06', 'Biological Sciences'], ['08', 'Information and Computing Sciences'], ['01', 'Mathematical Sciences']]",23.55172,371,611,44,44,8283,157,8126,44,0,0,3,54,0,0,0,17,7,4,9,19,327,26.4,0.2,348.27,0.087341972,94834.13067
FALSE,Refine Science,Chemistry and Chemical Engineering,"[['03', 'Chemical Sciences'], ['1115', 'Pharmacology and Pharmaceutical Sciences'], ['0301', 'Analytical Chemistry'], ['11', 'Medical and Health Sciences']]",23.486525,370,343,15,15,6960,153,6807,15,0,0,4,80,0,0,0,4,0,2,6,5,213,11,0.2,288.12,0.072257068,96322.75718
FALSE,Skill Trends,Physics and Astronomy,"[['0206', 'Quantum Physics'], ['0105', 'Mathematical Physics'], ['0102', 'Applied Mathematics'], ['01', 'Mathematical Sciences'], ['02', 'Physical Sciences']]",23.325328,369,420,26,26,7429,177,7252,26,0,0,4,70,0,0,0,12,0,1,5,5,282,11.8,0.2,310.8,0.077944942,95310.86702
FALSE,Sage Journal,"Engineering, Energy and Technology","[['0905', 'Civil Engineering'], ['0913', 'Mechanical Engineering'], ['0901', 'Aerospace Engineering'], ['09', 'Engineering']]",23.308292,368,383,30,30,6435,192,6243,30,0,0,3,66,0,0,0,7,3,5,10,7,323,4,0.2,264.27,0.066275772,97094.30526
FALSE,Pathway Coating,Chemistry and Chemical Engineering,"[['0301', 'Analytical Chemistry'], ['03', 'Chemical Sciences']]",22.693249,367,439,18,18,8416,219,8197,18,0,0,4,78,0,0,0,4,2,3,9,5,313,8.6,0.4,359.98,0.090278701,93222.43147
MAYBE,Brave Research,"Pharmacology, Pharmaceutical Science and Toxicology","[['1115', 'Pharmacology and Pharmaceutical Sciences'], ['11', 'Medical and Health Sciences']]",22.477633,366,729,39,39,10129,166,9963,39,0,0,3,58,0,0,0,19,7,5,5,26,321,39,0.2,444.69,0.111522961,90824.34611
FALSE,Morph Journal,Chemistry and Chemical Engineering,"[['0912', 'Materials Engineering'], ['0204', 'Condensed Matter Physics'], ['0306', 'Physical Chemistry (incl. Structural)'], ['09', 'Engineering'], ['03', 'Chemical Sciences'], ['02', 'Physical Sciences']]",22.317123,365,508,18,18,9429,181,9248,18,0,0,4,78,0,0,0,3,3,4,8,6,260,20.8,0.4,416.56,0.104468292,90257.05173
FALSE,Progress Journal,Life Sciences,"[['09', 'Engineering']]",21.983772,364,295,40,40,3939,58,3881,40,0,0,3,57,0,0,0,14,9,4,12,29,114,14.4,0.4,177,0.044389494,88737.21339
MAYBE,Aware Polymers,Chemistry and Chemical Engineering,"[['07', 'Agricultural and Veterinary Sciences'], ['06', 'Biological Sciences'], ['11', 'Medical and Health Sciences']]",21.459489,363,636,19,19,11412,350,11062,19,0,0,4,77,0,0,0,5,2,3,7,6,508,12.8,0,515.16,0.129195998,88330.90915
MAYBE,Flourish Proceedings,Chemistry and Chemical Engineering,"[['09', 'Engineering'], ['03', 'Chemical Sciences']]",21.204792,362,721,12,12,13755,369,13386,12,0,0,4,83,0,0,0,4,0,2,4,3,496,18.6,0.4,627.27,0.157311852,87437.7854
FALSE,Home Neuro,"Economics, Business and Management","[['09', 'Engineering'], ['02', 'Physical Sciences'], ['03', 'Chemical Sciences']]",21.197238,361,431,49,49,4792,110,4682,49,0,0,3,49,0,0,0,35,5,6,0,24,252,16,0.2,224.12,0.056206629,85256.84705
 ,Encourage Trends,"Economics, Business and Management","[['1402', 'Applied Economics'], ['1401', 'Economic Theory'], ['1403', 'Econometrics'], ['14', 'Economics']]",20.998241,360,597,60,60,5182,129,5053,60,0,0,2,38,0,0,0,41,7,3,3,23,376,20.2,0.2,238.8,0.059888199,86527.89891
FALSE,Growth Opinion,Life Sciences,"[['0104', 'Statistics'], ['1402', 'Applied Economics'], ['14', 'Economics'], ['1403', 'Econometrics'], ['01', 'Mathematical Sciences']]",20.785647,359,294,45,45,3464,71,3393,45,0,0,3,53,0,0,0,22,10,5,7,33,152,12.4,0.2,164.64,0.041289753,83894.90719
FALSE,Professional Nutrition,Chemistry and Chemical Engineering,"[['06', 'Biological Sciences'], ['0604', 'Genetics']]",20.478948,358,392,18,18,6781,199,6582,18,0,0,4,78,0,0,0,3,0,3,8,4,287,10.6,0,321.44,0.080613327,84117.60462
 ,Surfacescape,Environmental Sciences,"[['MD', 'Multidisciplinary']]",20.199247,357,854,30,30,12326,234,12092,30,0,0,4,67,0,0,0,9,11,2,9,17,392,32.2,1.4,606.34,0.152062858,81058.58459
FALSE,Fortune Dairy,Chemistry and Chemical Engineering,"[['0303', 'Macromolecular and Materials Chemistry'], ['0301', 'Analytical Chemistry'], ['0307', 'Theoretical and Computational Chemistry'], ['03', 'Chemical Sciences']]",20.116801,356,386,31,31,5543,163,5380,31,0,0,3,66,0,0,0,13,4,6,8,20,277,11,0,266.34,0.066794903,82985.37392
 ,Champions Trends,Chemistry and Chemical Engineering,"[['01', 'Mathematical Sciences'], ['0401', 'Atmospheric Sciences'], ['0104', 'Statistics'], ['09', 'Engineering'], ['0907', 'Environmental Engineering'], ['04', 'Earth Sciences']]",20.031316,355,572,28,28,8503,215,8288,28,0,0,4,69,0,0,0,4,2,3,14,5,351,18.2,0.4,417.56,0.10471908,81198.19257
FALSE,Training Journal,Neuroscience,"[['11', 'Medical and Health Sciences'], ['03', 'Chemical Sciences'], ['0304', 'Medicinal and Biomolecular Chemistry'], ['1115', 'Pharmacology and Pharmaceutical Sciences'], ['0305', 'Organic Chemistry']]",19.63139,354,386,51,51,3832,103,3729,51,0,0,2,47,0,0,0,23,8,7,8,32,245,14.2,0,189.14,0.047434062,80785.82933
FALSE,Though Analyze,Chemistry and Chemical Engineering,"[['0913', 'Mechanical Engineering'], ['09', 'Engineering'], ['0906', 'Electrical and Electronic Engineering'], ['0912', 'Materials Engineering']]",19.624137,353,275,38,38,3407,72,3335,38,0,0,3,59,0,0,0,14,9,3,2,28,138,13.8,0,170.5,0.042759371,79678.43994
FALSE,Techie Journal,"Pharmacology, Pharmaceutical Science and Toxicology","[['11', 'Medical and Health Sciences'], ['08', 'Information and Computing Sciences'], ['17', 'Psychology and Cognitive Sciences']]",19.293009,352,455,28,28,6435,94,6341,28,0,0,4,69,0,0,0,12,5,3,3,17,154,22.2,0.8,332.15,0.083299268,77251.57926
FALSE,Better Cement,Life Sciences,"[['0304', 'Medicinal and Biomolecular Chemistry'], ['0601', 'Biochemistry and Cell Biology'], ['03', 'Chemical Sciences'], ['06', 'Biological Sciences']]",19.102537,351,384,51,51,3685,101,3584,51,0,0,2,46,0,0,0,29,4,14,6,42,244,14.2,0,184.32,0.046225263,79718.31353
FALSE,Institute Journal,Computer Science,"[['11', 'Medical and Health Sciences'], ['1115', 'Pharmacology and Pharmaceutical Sciences']]",19.039701,350,173,27,27,2495,88,2407,27,0,0,4,70,0,0,0,7,1,4,9,6,141,3.2,0,128.02,0.032105893,77711.59077
FALSE,Accel Accident,Life Sciences,"[['11', 'Medical and Health Sciences'], ['06', 'Biological Sciences']]",18.814105,349,471,58,58,3848,105,3743,58,0,0,2,40,0,0,0,18,16,16,5,35,292,18,0,197.82,0.049610902,77563.5964
 ,Cabin International,Materials Science,"[['17', 'Psychology and Cognitive Sciences'], ['15', 'Commerce, Management, Tourism and Services'], ['08', 'Information and Computing Sciences']]",18.780985,348,520,16,16,8456,230,8226,16,0,0,4,80,0,0,0,6,2,3,4,8,321,18,0.2,436.8,0.109544243,77192.55513
 ,Academadil,"Engineering, Energy and Technology","[['06', 'Biological Sciences'], ['03', 'Chemical Sciences'], ['0601', 'Biochemistry and Cell Biology'], ['0304', 'Medicinal and Biomolecular Chemistry']]",18.761704,347,516,43,43,5614,117,5497,43,0,0,3,54,0,0,0,21,3,4,9,13,243,21.4,0.6,294.12,0.073761796,76109.85999
